STATE_UT_NAME,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,monsoon_total,winter_total,summer_total,annual_total
HARYANA,KAITHAL,17.7,15.2,12.5,5.6,8.5,42.2,128.3,140.1,73.4,14.2,3.9,4.9,384.0,32.9,26.6,466.5
HARYANA,PANIPAT,20.6,15.8,12.6,9.5,9.9,55.1,176.2,203.9,86.5,21.8,4.7,7.5,521.7,36.4,32.0,624.1
HARYANA,REWARI,9.1,8.7,5.2,3.0,9.9,33.1,150.1,183.5,69.1,13.2,3.5,3.8,435.8,17.8,18.1,492.2
HARYANA,FATEHABAD,16.7,11.0,11.2,6.8,14.9,31.3,104.3,95.9,51.5,12.4,3.6,5.0,283.0,27.7,32.9,364.6
HARYANA,JHAJJAR,12.4,12.5,9.7,7.5,10.6,34.4,159.3,151.2,72.4,11.0,3.4,4.6,417.3,24.9,27.8,489.0
HARYANA,PANCHKULA,43.6,37.4,27.8,11.5,27.9,105.6,327.0,346.6,171.2,18.7,12.2,18.7,950.4,81.0,67.2,1148.2
HARYANA,MEWAT,9.4,9.6,6.3,5.2,9.8,41.3,167.2,194.0,99.3,20.7,4.1,5.1,501.8,19.0,21.3,572.0
HARYANA,PALWAL(FRD),9.1,7.9,5.9,4.3,7.7,28.1,160.4,171.8,86.6,20.0,3.1,3.2,446.9,17.0,17.9,508.1
CHANDIGARH,CHANDIGARH,44.3,38.9,33.2,14.8,30.1,120.0,282.4,287.5,154.3,31.8,9.9,23.4,844.2,83.2,78.1,1070.6
DELHI,NEW DELHI,16.4,16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,636.2,32.7,43.5,747.1
DELHI,CENTRAL DELHI,16.4,16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,636.2,32.7,43.5,747.1
DELHI,EAST DELHI,16.4,16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,636.2,32.7,43.5,747.1
DELHI,NORTH DELHI,16.4,16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,636.2,32.7,43.5,747.1
DELHI,NE DELHI,16.4,16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,636.2,32.7,43.5,747.1
DELHI,SW DELHI,16.4,16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,636.2,32.7,43.5,747.1
DELHI,NW DELHI,16.4,16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,636.2,32.7,43.5,747.1
DELHI,SOUTH DELHI,16.4,16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,636.2,32.7,43.5,747.1
DELHI,WEST DELHI,16.4,16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,636.2,32.7,43.5,747.1
PUNJAB,AMRITSAR,30.4,29.0,35.4,20.9,17.1,43.1,211.4,194.1,89.0,28.7,7.6,15.0,537.6,59.4,73.4,721.7
PUNJAB,BATHINDA,11.5,17.4,13.0,8.0,9.7,33.5,109.6,115.4,62.5,19.2,2.7,5.4,321.0,28.9,30.7,407.9
PUNJAB,FEROZEPUR,15.7,14.5,21.3,9.3,15.4,31.3,128.4,124.7,67.9,12.3,5.1,9.7,352.3,30.2,46.0,455.6
PUNJAB,GURDASPUR,60.0,49.9,53.8,25.7,21.3,57.1,324.6,319.9,126.2,37.2,11.0,25.8,827.8,109.9,100.8,1112.5
PUNJAB,HOSHIARPUR,38.4,39.8,39.8,16.0,20.4,74.9,275.7,241.5,125.8,31.5,9.3,20.0,717.9,78.2,76.2,933.1
PUNJAB,JALANDHAR,28.6,28.6,30.7,13.7,20.2,48.5,203.9,188.1,111.0,21.9,7.3,16.6,551.5,57.2,64.6,719.1
PUNJAB,KAPURTHALA,27.6,21.0,25.8,9.5,14.1,37.1,166.3,136.5,82.7,31.4,5.4,10.6,422.6,48.6,49.4,568.0
PUNJAB,LUDHIANA,24.3,26.1,26.5,12.1,16.6,51.2,203.0,178.3,101.7,25.7,5.4,14.7,534.2,50.4,55.2,685.6
PUNJAB,PATIALA,26.7,24.7,20.9,9.3,15.3,54.9,235.9,208.5,115.9,21.1,4.3,14.5,615.2,51.4,45.5,752.0
PUNJAB,RUPNAGAR,41.6,38.9,51.2,14.7,25.6,65.4,291.0,252.9,119.2,19.7,13.2,23.1,728.5,80.5,91.5,956.5
PUNJAB,SANGRUR,18.3,19.3,15.9,10.4,18.7,44.8,160.5,145.8,85.7,20.4,4.7,12.9,436.8,37.6,45.0,557.4
PUNJAB,FARIDKOT,16.1,14.3,17.0,8.1,13.9,36.0,120.0,103.8,65.3,9.8,3.8,7.5,325.1,30.4,39.0,415.6
PUNJAB,MOGA,21.3,13.4,15.0,9.7,15.7,33.7,123.0,133.5,63.8,20.9,3.1,7.5,354.0,34.7,40.4,460.6
PUNJAB,NAWANSHAHR,38.8,39.9,38.6,15.9,19.2,85.3,309.6,254.9,138.8,29.6,10.1,24.9,788.6,78.7,73.7,1005.6
PUNJAB,FATEHGARH SAH,24.9,21.8,22.6,10.0,13.7,45.6,220.6,174.6,106.3,18.9,7.1,17.0,547.1,46.7,46.3,683.1
PUNJAB,MUKTSAR,16.7,12.7,18.2,7.0,10.9,31.2,113.0,107.5,60.1,11.2,3.5,7.5,311.8,29.4,36.1,399.5
PUNJAB,MANSA,12.3,18.4,11.3,7.2,8.9,30.3,110.9,122.8,70.8,18.2,2.4,6.3,334.8,30.7,27.4,419.8
PUNJAB,BARNALA,14.7,16.9,10.0,11.5,9.6,30.3,129.4,117.5,78.4,18.3,3.9,8.9,355.6,31.6,31.1,449.4
PUNJAB,SAS NAGAR(MGA),33.4,24.7,29.5,13.8,24.6,68.8,241.8,216.6,117.3,20.2,7.3,20.7,644.5,58.1,67.9,818.7
PUNJAB,TARN TARAN,18.0,18.3,21.5,10.4,12.4,23.5,133.6,111.4,68.3,17.8,4.5,9.5,336.8,36.3,44.3,449.2
HIMACHAL,BILASPUR,62.5,66.8,54.0,26.1,41.1,107.4,311.8,304.2,153.6,27.0,14.0,28.7,877.0,129.3,121.2,1197.2
HIMACHAL,CHAMBA,126.2,112.8,120.3,51.2,53.4,132.4,567.3,479.2,227.5,48.7,21.9,56.2,1406.4,239.0,224.9,1997.1
